ISO_code,Continent,Country/Region,Date,Susceptibles Smooth (S),Infected Smooth (I),Recovered Smooth (R),Deaths Smooth (D),Mu Smooth,Beta Smooth,Gamma Smooth,Positive Test Rate Smooth,Mobility Rate Smooth
ESP,Europe,Spain,2021-04-20,43838966.14285714,107823.71428571428,3306934.8571428573,78889.28571428571,0.0008208946501318303,0.0828653463240041,0.1013519357739503,0.076,-0.09380952380952383
ESP,Europe,Spain,2021-04-21,43830530.42857143,110200.42857142855,3312907.0,78976.14285714286,0.0008031249335149745,0.08286125235520699,0.10165932774972657,0.077,-0.09571428571428572
ESP,Europe,Spain,2021-04-22,43821930.28571428,112340.71428571428,3319279.1428571427,79063.85714285714,0.0007811813361789559,0.08247278114928105,0.10187121495611118,0.076,-0.0930952380952381
ESP,Europe,Spain,2021-04-23,43813168.28571428,113111.14285714286,3327183.571428572,79151.0,0.0007811813361789559,0.082007961796612,0.10187350733854064,0.076,-0.08928571428571429
ESP,Europe,Spain,2021-04-24,43804406.28571429,115226.42857142855,3333743.1428571427,79238.14285714286,0.0007811813361789559,0.08051818297637116,0.10208771245744168,0.075,-0.09023809523809524
ESP,Europe,Spain,2021-04-25,43795644.28571428,117341.71428571428,3340302.7142857136,79325.28571428571,0.0007918410632851916,0.07862891239831013,0.10193292904439204,0.075,-0.10285714285714286
ESP,Europe,Spain,2021-04-26,43787056.42857143,117526.0,3348615.4285714286,79416.14285714286,0.0009346982061423344,0.07783318798556467,0.10009652655962302,0.075,-0.10690476190476192
ESP,Europe,Spain,2021-04-27,43777373.57142857,118831.85714285714,3356884.8571428573,79523.71428571429,0.0006982098741924085,0.07363899549529654,0.09782724495105614,0.073,-0.10880952380952383
ESP,Europe,Spain,2021-04-28,43768984.00000001,118629.14285714286,3365394.4285714286,79606.42857142858,0.0007062811800773981,0.07212125445169873,0.0944566656529665,0.072,-0.10595238095238098
ESP,Europe,Spain,2021-04-29,43760690.28571428,118361.57142857145,3373872.2857142864,79689.85714285714,0.0007581428261815447,0.07022427401777707,0.08990503652720898,0.071,-0.10404761904761906
ESP,Europe,Spain,2021-04-30,43752767.42857143,117749.71428571428,3382317.7142857136,79779.14285714286,0.0007581428261815447,0.06858700693856212,0.08407497547551625,0.07,-0.10023809523809524
ESP,Europe,Spain,2021-05-01,43744844.571428575,117137.85714285714,3390763.1428571427,79868.42857142858,0.0007581428261815447,0.06671772483618746,0.07830032047454169,0.069,-0.11904761904761905
ESP,Europe,Spain,2021-05-02,43736921.71428571,116526.0,3399208.571428572,79957.71428571429,0.0006781015760468194,0.06471789807838017,0.07448863222042254,0.069,-0.08857142857142856
ESP,Europe,Spain,2021-05-03,43729498.71428572,115652.42857142855,3407425.8571428573,80037.0,0.0006718080544446447,0.0631752115771968,0.07188986621841248,0.067,-0.0830952380952381
ESP,Europe,Spain,2021-05-04,43722525.71428571,115215.0,3414758.571428572,80114.71428571429,0.0007725153851020786,0.0623685807846419,0.07089524777561973,0.066,-0.0738095238095238
ESP,Europe,Spain,2021-05-05,43715888.14285714,113414.71428571428,3423107.4285714286,80203.71428571429,0.0008244555534665086,0.06245250737898676,0.07155763205688903,0.064,-0.06761904761904762
ESP,Europe,Spain,2021-05-06,43709562.42857143,111135.71428571428,3431619.8571428573,80296.0,0.0007517374044197075,0.06308521718349304,0.0719938764913992,0.062,-0.06190476190476191
ESP,Europe,Spain,2021-05-07,43703372.28571428,108568.71428571428,3440294.7142857136,80378.28571428571,0.0007517374044197075,0.06369633884214727,0.0724655725343806,0.061,-0.060238095238095236
