Country/Region,Date,Num Hospitalizations,Num Hospitalizations Smooth (7 days),Num UCI,Num UCI Smooth (7 days)
Spain,2021-04-01,548,528.5714285714286,71,69.71428571428571
Spain,2021-04-02,518,522.8571428571429,83,71.28571428571429
Spain,2021-04-03,523,534.2857142857143,64,71.28571428571429
Spain,2021-04-04,486,554.2857142857143,80,75.42857142857143
Spain,2021-04-05,698,569.4285714285714,75,75.14285714285714
Spain,2021-04-06,691,584.8571428571429,108,81.28571428571429
Spain,2021-04-07,697,594.4285714285714,84,80.71428571428571
Spain,2021-04-08,691,614.8571428571429,85,82.71428571428571
Spain,2021-04-09,719,643.5714285714286,82,82.57142857142857
Spain,2021-04-10,576,651.1428571428571,79,84.71428571428571
Spain,2021-04-11,508,654.2857142857143,94,86.71428571428571
Spain,2021-04-12,777,665.5714285714286,100,90.28571428571429
Spain,2021-04-13,743,673.0,95,88.42857142857143
Spain,2021-04-14,780,684.8571428571429,100,90.71428571428571
Spain,2021-04-15,726,689.8571428571429,106,93.71428571428571
Spain,2021-04-16,812,703.1428571428571,110,97.71428571428571
Spain,2021-04-17,614,708.5714285714286,97,100.28571428571429
Spain,2021-04-18,561,716.1428571428571,83,98.71428571428571
Spain,2021-04-19,808,720.5714285714286,104,99.28571428571429
Spain,2021-04-20,800,728.7142857142857,119,102.71428571428571
Spain,2021-04-21,745,723.7142857142857,88,101.0
Spain,2021-04-22,728,724.0,119,102.85714285714286
Spain,2021-04-23,664,702.8571428571429,111,103.0
Spain,2021-04-24,600,700.8571428571429,81,100.71428571428571
Spain,2021-04-25,526,695.8571428571429,76,99.71428571428571
Spain,2021-04-26,785,692.5714285714286,80,96.28571428571429
Spain,2021-04-27,727,682.1428571428571,97,93.14285714285714
Spain,2021-04-28,609,662.7142857142857,90,93.42857142857143
Spain,2021-04-29,662,653.2857142857143,83,88.28571428571429
Spain,2021-04-30,663,653.1428571428571,82,84.14285714285714
Spain,2021-05-01,498,638.5714285714286,70,82.57142857142857
Spain,2021-05-02,446,627.1428571428571,83,83.57142857142857
Spain,2021-05-03,528,590.4285714285714,84,84.14285714285714
Spain,2021-05-04,602,572.5714285714286,72,80.57142857142857
Spain,2021-05-05,552,564.4285714285714,95,81.28571428571429
Spain,2021-05-06,539,546.8571428571429,78,80.57142857142857
Spain,2021-05-07,532,528.1428571428571,79,80.14285714285714
Spain,2021-05-08,382,511.57142857142856,61,78.85714285714286
Spain,2021-05-09,350,497.85714285714283,41,72.85714285714286
Spain,2021-05-10,439,485.14285714285717,53,68.42857142857143
Spain,2021-05-11,447,463.0,58,66.42857142857143
Spain,2021-05-12,458,449.57142857142856,54,60.57142857142857
Spain,2021-05-13,406,430.57142857142856,41,55.285714285714285
Spain,2021-05-14,413,413.57142857142856,41,49.857142857142854
Spain,2021-05-15,307,402.85714285714283,41,47.0
Spain,2021-05-16,283,393.2857142857143,51,48.42857142857143
Spain,2021-05-17,362,382.2857142857143,56,48.857142857142854
Spain,2021-05-18,372,371.57142857142856,41,46.42857142857143
Spain,2021-05-19,328,353.0,53,46.285714285714285
Spain,2021-05-20,300,337.85714285714283,43,46.57142857142857
Spain,2021-05-21,345,328.14285714285717,49,47.714285714285715
Spain,2021-05-22,248,319.7142857142857,32,46.42857142857143
Spain,2021-05-23,215,310.0,43,45.285714285714285
Spain,2021-05-24,329,305.2857142857143,46,43.857142857142854
Spain,2021-05-25,325,298.57142857142856,40,43.714285714285715
Spain,2021-05-26,290,293.14285714285717,42,42.142857142857146
Spain,2021-05-27,282,290.57142857142856,37,41.285714285714285
Spain,2021-05-28,303,284.57142857142856,28,38.285714285714285
Spain,2021-05-29,237,283.0,20,36.57142857142857
