ISO_code,Continent,Country/Region,Date,Susceptibles Smooth (S),Infected Smooth (I),Recovered Smooth (R),Deaths Smooth (D),Total Population (N),Total Population Without Deahts (N Alive)
ESP,Europe,Spain,2020-12-18,45560609.0,103407.28571428572,1618397.5714285714,50200.142857142855,47332614.0,47282413.85714286
ESP,Europe,Spain,2020-12-19,45551086.0,104907.85714285713,1626234.0,50386.142857142855,47332614.0,47282227.85714286
ESP,Europe,Spain,2020-12-20,45541563.00000001,106408.42857142855,1634070.4285714286,50572.142857142855,47332614.0,47282041.85714286
ESP,Europe,Spain,2020-12-21,45531939.42857143,108344.71428571428,1641579.5714285714,50750.285714285725,47332614.00000001,47281863.714285724
ESP,Europe,Spain,2020-12-22,45522269.28571429,111462.28571428572,1647972.2857142857,50910.142857142855,47332614.0,47281703.85714286
ESP,Europe,Spain,2020-12-23,45512412.28571428,114720.28571428572,1654413.8571428568,51067.571428571435,47332614.0,47281546.428571425
ESP,Europe,Spain,2020-12-24,45502479.42857143,118382.42857142855,1660535.0,51217.142857142855,47332614.0,47281396.85714286
ESP,Europe,Spain,2020-12-25,45494234.42857143,120134.0,1666900.1428571432,51345.428571428565,47332614.0,47281268.571428575
ESP,Europe,Spain,2020-12-26,45485989.42857143,121885.57142857145,1673265.2857142857,51473.714285714275,47332614.00000001,47281140.28571429
ESP,Europe,Spain,2020-12-27,45477744.42857143,123637.14285714286,1679630.4285714286,51602.0,47332614.0,47281012.0
ESP,Europe,Spain,2020-12-28,45469149.57142857,125224.71428571428,1686514.5714285714,51725.142857142855,47332614.0,47280888.85714286
ESP,Europe,Spain,2020-12-29,45460064.0,125874.42857142855,1694818.7142857143,51856.857142857145,47332614.0,47280757.14285714
ESP,Europe,Spain,2020-12-30,45450359.85714286,126921.0,1703334.7142857143,51998.428571428565,47332614.0,47280615.571428575
ESP,Europe,Spain,2020-12-31,45439886.42857143,128116.57142857145,1712467.8571428568,52143.142857142855,47332614.00000001,47280470.857142866
ESP,Europe,Spain,2021-01-01,45429413.0,129108.28571428572,1721804.8571428568,52287.857142857145,47332614.0,47280326.14285714
ESP,Europe,Spain,2021-01-02,45418939.57142857,130100.0,1731141.8571428568,52432.571428571435,47332614.0,47280181.428571425
ESP,Europe,Spain,2021-01-03,45408466.14285714,131091.7142857143,1740478.8571428568,52577.285714285725,47332614.0,47280036.71428572
ESP,Europe,Spain,2021-01-04,45397118.85714286,132857.0,1749924.2857142857,52713.857142857145,47332614.0,47279900.14285714
ESP,Europe,Spain,2021-01-05,45384398.57142857,135925.85714285713,1759434.5714285714,52855.0,47332614.0,47279759.0
ESP,Europe,Spain,2021-01-06,45374066.28571428,136452.7142857143,1769134.1428571432,52960.857142857145,47332614.0,47279653.14285714
ESP,Europe,Spain,2021-01-07,45360260.71428572,140355.2857142857,1778917.4285714286,53080.571428571435,47332614.0,47279533.428571425
ESP,Europe,Spain,2021-01-08,45342818.57142857,149532.57142857142,1787034.1428571432,53228.714285714275,47332614.0,47279385.28571428
ESP,Europe,Spain,2021-01-09,45325376.42857143,158709.85714285713,1795150.8571428568,53376.857142857145,47332614.00000001,47279237.14285715
ESP,Europe,Spain,2021-01-10,45307934.28571428,167887.14285714287,1803267.5714285716,53525.0,47332614.0,47279089.0
ESP,Europe,Spain,2021-01-11,45286086.0,181092.7142857143,1811739.2857142857,53696.0,47332614.0,47278918.0
ESP,Europe,Spain,2021-01-12,45263989.42857143,194056.42857142855,1820693.1428571432,53875.0,47332614.0,47278739.0
ESP,Europe,Spain,2021-01-13,45236340.14285714,211936.2857142857,1830255.7142857143,54081.857142857145,47332614.0,47278532.14285714
ESP,Europe,Spain,2021-01-14,45209616.85714287,228130.2857142857,1840584.4285714286,54282.428571428565,47332614.00000001,47278331.57142858
ESP,Europe,Spain,2021-01-15,45180787.71428572,246425.0,1850913.1428571432,54488.142857142855,47332614.0,47278125.85714286
ESP,Europe,Spain,2021-01-16,45151958.57142857,264719.71428571426,1861241.8571428568,54693.857142857145,47332614.0,47277920.14285714
ESP,Europe,Spain,2021-01-17,45123129.42857143,283014.4285714286,1871570.5714285716,54899.571428571435,47332614.00000001,47277714.42857143
ESP,Europe,Spain,2021-01-18,45091033.85714286,303685.85714285716,1882781.2857142857,55113.0,47332614.0,47277501.0
ESP,Europe,Spain,2021-01-19,45057673.57142858,324254.14285714284,1895360.4285714286,55325.857142857145,47332614.00000001,47277288.14285715
ESP,Europe,Spain,2021-01-20,45023926.571428575,347523.4285714286,1905586.8571428568,55577.142857142855,47332614.0,47277036.85714286
ESP,Europe,Spain,2021-01-21,44988968.28571428,368515.5714285714,1919272.7142857143,55857.428571428565,47332614.0,47276756.571428575
ESP,Europe,Spain,2021-01-22,44953626.0,386260.0,1936566.7142857143,56161.285714285725,47332614.0,47276452.71428572
ESP,Europe,Spain,2021-01-23,44918283.71428572,404004.4285714286,1953860.7142857143,56465.142857142855,47332614.0,47276148.85714286
ESP,Europe,Spain,2021-01-24,44882941.42857143,421748.85714285716,1971154.7142857143,56769.0,47332614.00000001,47275845.00000001
ESP,Europe,Spain,2021-01-25,44846237.0,436427.5714285714,1992832.0,57117.42857142857,47332614.0,47275496.571428575
ESP,Europe,Spain,2021-01-26,44809226.28571428,451146.2857142858,2014749.5714285716,57491.857142857145,47332614.0,47275122.14285714
ESP,Europe,Spain,2021-01-27,44772400.0,460151.0,2042192.0,57871.0,47332614.0,47274743.0
ESP,Europe,Spain,2021-01-28,44736924.85714286,468708.4285714286,2068714.7142857143,58266.0,47332614.0,47274348.0
ESP,Europe,Spain,2021-01-29,44702130.71428572,474468.0,2097338.1428571427,58677.142857142855,47332614.0,47273936.85714286
ESP,Europe,Spain,2021-01-30,44667336.57142857,480227.5714285714,2125961.5714285714,59088.285714285725,47332614.0,47273525.71428572
ESP,Europe,Spain,2021-01-31,44632542.42857143,485987.1428571429,2154585.0,59499.42857142857,47332614.0,47273114.571428575
ESP,Europe,Spain,2021-02-01,44599767.71428572,486469.2857142858,2186467.1428571427,59909.857142857145,47332614.0,47272704.14285714
ESP,Europe,Spain,2021-02-02,44568046.0,484613.4285714286,2219614.5714285714,60340.0,47332614.0,47272274.0
ESP,Europe,Spain,2021-02-03,44537565.571428575,481158.2857142858,2253110.285714286,60779.857142857145,47332614.0,47271834.14285714
ESP,Europe,Spain,2021-02-04,44507790.71428572,475827.1428571429,2287788.285714286,61207.857142857145,47332614.0,47271406.14285714
ESP,Europe,Spain,2021-02-05,44479380.57142857,468760.7142857143,2322826.714285714,61646.0,47332614.0,47270968.0
ESP,Europe,Spain,2021-02-06,44450970.42857143,461694.2857142858,2357865.1428571427,62084.142857142855,47332614.0,47270529.85714286
ESP,Europe,Spain,2021-02-07,44422560.28571428,454627.85714285716,2392903.5714285714,62522.285714285725,47332614.0,47270091.71428572
ESP,Europe,Spain,2021-02-08,44398806.0,441567.0,2429259.5714285714,62981.42857142857,47332614.0,47269632.571428575
